Release,Description,Progress
Release#1,Service 1: Prepare Scope of work & Implement Plan and Deliverables,1
Release#1,1.1 Feature Overview,1
Release#1,1.2 Implementation Plan,1
Release#1,1.3 Initial Task List,1
Release#1,Service 2: Install and configure all core components required for a highly available Zabbix monitoring.,1
Release#1,2.1: Install Zabbix Monitoring Cluster,1
Release#1,2.1.1: Install and configure Zabbix Server (2 Nodes - Active/Standby),1
Release#1,2.1.2: Install and configure Zabbix Web UI via NGINX (2 Nodes),1
Release#1,2.1.3: Configure High-Availability Load Balancer for Web UI (via HAProxy & keepalived),1
Release#1,2.2: Deploy Zabbix Proxies and Database,1
Release#1,2.2.1: Install and configure Zabbix Proxy with MariaDB (24 Nodes),1
Release#1,2.2.2: Install and configure PostgreSQL Cluster (3 Nodes) with TimescaleDB extension,1
Release#1,2.2.3: Validate TimescaleDB performance and compression features,1
Release#1,2.2.4: Connect Zabbix Server to PostgreSQL cluster,1
Release#1,2.3: Deploy HA Components,1
Release#1,2.3.1: Install HAProxy (2 Nodes),1
Release#1,2.3.2: Configure keepalived for virtual IP (VIP) management,1
Release#1,2.3.3: Load balancing configuration for Web UI PostgreSQL Redis,1
Release#1,2.4: Install and Configure Redis,1
Release#1,2.4.1: Install Redis Cluster for Zabbix caching,1
Release#1,2.4.2: Configure Zabbix to use Redis for value caching,1
Release#1,2.4.3: Secure Redis access and define data retention policy,1
Release#1,2.5: Install and Configure Elasticsearch,1
Release#1,2.5.1: Deploy Elasticsearch Cluster (3 Nodes) for log storage,1
Release#1,2.5.2: Configure Zabbix to send history logs to Elasticsearch,1
Release#1,2.5.3: Install GitLab CE,1
Release#1,2.5.4: Configure GitLab runners repos and access control,1
Release#1,2.6: Install and Configure Grafana,1
Release#1,2.6.1: Install Grafana Server,1
Release#1,2.6.2: Configure data sources (Zabbix PostgreSQL ElasticSearch,1
Release#1,2.6.3: Create basic dashboard templates for monitoring overview,1
Release#1,2.6.4: Set up authentication and role-based access,1
Release#1,Service 3: Automated Device Data Integration (Script-Based Data Collection) (Briefly Performance for 1st Release),1
Release#1,3.1: Build Initial Data Collection Script  for MPLS Devices,1
Release#1,3.1.1: Read data from Netka via DB Connect,1
Release#1,3.1.2: Read data from DTWH via DB/API,1
Release#1,3.1.3: Cleanse and normalize MPLS device data,1
Release#1,3.1.4: Insert into Zabbix DB,1
Release#1,3.1.5: Export From Zabbix to Excel and verify with UIH,1
Release#1,3.2: Build Initial Data Collection Script for Network & Access Switches,1
Release#1,3.2.1: Read data from NCE (API),1
Release#1,3.2.2: Read data from E-Sight (API),1
Release#1,3.2.3: Read data from DTWH (DB/API),1
Release#1,3.2.4: Cleanse and merge switch data,1
Release#1,3.2.5: Insert into Zabbix DB,1
Release#1,3.2.6: Export to Excel and verify with UIH,1
Release#1,3.3: Build Initial Data Collection Script for CPE Routers and WiFi APs,1
Release#1,3.3.1: Read data from MRS (DB),1
Release#1,3.3.2: Read data from Controller (API),1
Release#1,3.3.3: Read data from DTWH (DB/API),1
Release#1,3.3.4: Cleanse router and WiFi data,1
Release#1,3.3.5: Insert into Zabbix DB,1
Release#1,3.3.6: Export to Excel and verify with UIH,1
Release#1,3.4: Build Initial Data Collection Script for SDWAN/Firewall Devices,1
Release#1,3.4.1: Read data from Controller 3 Node (API),1
Release#1,3.4.2: Cleanse firewall and SDWAN data,1
Release#1,3.4.3: Insert into Zabbix DB,1
Release#1,3.4.4: Export to Excel and verify with UIH,1
Release#1,3.5: Build Initial Data Collection Script for Internal Monitoring Devices,1
Release#1,3.5.1: Read internal monitoring data from Excel,1
Release#1,3.5.2: Cleanse Excel data,1
Release#1,3.5.3: Insert into Zabbix DB,1
Release#1,3.5.4: Export to Excel and verify with UIH,1
Release#2,Service 4: Network Performance Monitoring via Zabbix Templates & Proxy,0
Release#2,4.1: Create and configure Zabbix templates to collect performance and status data by device group and protocol type.,0
Release#2,4.1.1: Create SNMP-based template for network device groups (CPU Memory Disk...),0.5
Release#2,4.1.2: Create API-based template for network device groups (CPU Memory...),0.5
Release#2,4.1.3: Create Python script-based template for non-standard devices (Custom Polling),0.5
Release#2,4.2: Implement Python Scripts for Data Collection for Device Groups,0
Release#2,4.2.1: Develop Python script to collect performance data (CPU Memory etc.),0.2
Release#2,4.2.2: Integrate Python script into Zabbix via proxy,0.2
Release#2,4.2.3: Validate polling and response cycle between proxy → script → device,0.2
Release#2,4.3: Stream Performance & Status Data to Elasticsearch,0
Release#2,4.3.1: Design data schema for Performance and Status metrics in Elasticsearch,0
Release#2,4.3.2: Implement Zabbix →  Logstash (or custom pipeline) → Elasticsearch,0
Release#2,4.3.3: Filter only essential items (e.g. CPU Memory Interface status) for streaming,0
Release#2,4.3.4: Create dashboards (Kibana/Grafana) to visualize live metrics,0
Release#2,4.3.5: Monitor and tune ingestion rate and index optimization,0
Release#2,Service 5: Automated Device Inventory Collection & Log Centralization,0
Release#2,5.1: Design Inventory Templates for Device Groups,0
Release#2,5.1.1: Define inventory fields (hostname IP SN model firmware etc.),0.25
Release#2,5.1.2: Create 8 templates per device group (e.g. Router Switch SDWAN...),0.25
Release#2,5.1.3: Configure item type to be collected in inventory,0.25
Release#2,5.1.4: Assign templates to relevant proxies,0.25
Release#2,5.2: Implement Proxy & Python Integration for Device Groups (Inventory),0
Release#2,5.2.1: Develop Python scripts for each device group***,0.25
Release#2,5.2.2: Integrate Python scripts into Zabbix Proxy,0.25
Release#2,5.2.3: Schedule polling to fetch inventory data from devices,0.25
Release#2,5.2.4: Return data in JSON format for further processing,0.25
Release#2,5.3: Stream Inventory Logs to ElasticSearch (Stream from zabbix or Python 5.2? FileBeat),0
Release#2,5.3.1: Forward inventory LOG JSON output to ElasticSearch,0
Release#2,5.3.2: Define index pattern for device-inventory-*,0
Release#2,5.3.3: Add tagging fields (device group timestamp template),0
Release#2,5.3.4: Confirm log storage and searchability,0
Release#2,5.4: Build Dashboards in Kibana & Grafana,0
Release#2,5.4.1: Create Kibana dashboard to search inventory logs,0
Release#2,5.4.2: Build Grafana panel using ElasticSearch queries,0
Release#2,5.4.3: Allow filtering by device type proxy and update status,0
Release#2,5.4.4: Set up alerts for missing/failed inventory updates,0
Release#2,Service 6  Automated Device Configuration Collection & version control network device,0
Release#2,6.1: Create Python Templates for Device Config Collection for Device Groups,0
Release#2,6.1.1: Define config collection method per device group (e.g. SSH API),0
Release#2,6.1.2: Create Python script templates for each group (Switch Router SDWAN etc.),0
Release#2,6.1.3: Standardize config format output (e.g. JSON text),0
Release#2,6.1.4: Define expected fields per config item (hostname IP version config block...),0
Release#2,6.1.5: Review templates with engineering team for approval,0
Release#2,6.2: Schedule Task Generation from Zabbix,0
Release#2,6.2.1: Develop Python script to run on Zabbix every X minutes,0
Release#2,6.2.2: Fetch device config template data,0
Release#2,6.2.3: Generate config collection task and push to Redis,0
Release#2,6.2.4: Log task creation and template used,0
Release#2,6.3: Proxy Service Python to Execute Config Fetch for Device Groups,0
Release#2,6.3.1: Subscribe to Redis for config-fetch tasks,0
Release#2,6.3.2: Execute script to poll config via SSH/API,0
Release#2,6.3.3: Parse and validate config data,0
Release#2,6.3.4: Send result (success/fail) and output path,0
Release#2,6.4: Store Config Files to GitLab with Versioning,0
Release#2,6.4.1: Push config file to GitLab repo,0
Release#2,6.4.2: Check for diff/version change,0
Release#2,6.4.3: Commit only if changes found,0
Release#2,6.4.4: Store commit metadata with traceability,0
Release#2,6.5: Update Operation Status to Zabbix,0
Release#2,6.5.1: Update Zabbix item with config status (success fail not_change),0
Release#2,6.5.2: Create trigger for fail threshold,0
Release#2,6.5.3: Visualize config collection status in dashboard,0
Release#3,Service 7: Final Optimization Training & Handover,0
Release#3,7.1: Performance Tuning,0
Release#3,7.1.1: Tune Zabbix Server and Proxy configuration (Cache/Pollers),0
Release#3,7.1.2: Tune Database parameters for high write throughput,0
Release#3,7.2: Optimize Backend Components,0
Release#3,7.2.1: Optimize PostgreSQL for HA and TimescaleDB performance,0
Release#3,7.2.2: Tune Elasticsearch cluster performance for log queries,0
Release#3,7.2.3: Tune Redis for task queue and caching efficiency,0
Release#3,7.3: System Validation & Functional Testing,0
Release#3,7.3.1: High Availability Failover Testing,0
Release#3,7.3.2: Test Zabbix Server Failover,0
Release#3,7.3.3: Test PostgreSQL Cluster Failover,0
Release#3,7.3.4: Test HAProxy / VIP Failover,0
Release#3,7.4: Functional Integration Testing,0
Release#3,7.4.1: Test ELK integration with Zabbix logs and items,0
Release#3,7.4.2: Test script to fetch config from network devices and push to GitLab,0
Release#3,7.4.3: Test Zabbix for Inventory and Status from network devices,0
Release#3,7.4.4: Test Excel-based import of Master Data to Zabbix,0
Release#3,7.4.5: Test device template assignment,0
Release#3,7.4.6: Test Master Data API integration to Zabbix,0
Release#3,7.4.7: Test automatic host creation from Master Data,0
Release#3,7.5: Performance Stress Test,0
Release#3,7.5.1: Load test API with K6,0
Release#3,7.6: Deliver Training Sessions,0
Release#3,7.6.1: Conduct online training for System Admins,0
Release#3,7.6.2: Conduct online training for Development team,0
Release#3,7.7: Deliver Full Documentation Package,0
Release#3,7.7.1: Installation Acceptance,1
Release#3,7.7.2: Configuration Acceptance,1
Release#3,7.7.3: Operation Manual,0
Release#3,7.7.4: Troubleshooting Guide,0
Release#3,7.7.5: POC Test Report,1
Release#3,7.7.6: SIT Test Report,0
Release#3,7.7.7: UAT Test Report,0
Release#3,7.7.8: Source Code Package,0
